tournament,tournament_id,dated
AEGON Championships,2,20/06/2017
AEGON Championships,2,20/06/2017
AEGON Championships,2,20/06/2017
AEGON Championships,2,20/06/2017
AEGON Championships,2,20/06/2017
AEGON Championships,2,21/06/2017
AEGON Championships,2,21/06/2017
AEGON Championships,2,21/06/2017
AEGON Championships,2,21/06/2017
AEGON Championships,2,22/06/2017
AEGON Championships,2,22/06/2017
AEGON Championships,2,22/06/2017
AEGON Championships,2,22/06/2017
AEGON Championships,2,23/06/2017
AEGON Championships,2,23/06/2017
AEGON Championships,2,23/06/2017
AEGON Championships,2,23/06/2017
AEGON Championships,2,24/06/2017
AEGON Championships,2,24/06/2017
AEGON Championships,2,25/06/2017
AEGON Championships,2,13/06/2016
AEGON Championships,2,14/06/2016
AEGON Championships,2,14/06/2016
AEGON Championships,2,14/06/2016
AEGON Championships,2,14/06/2016
AEGON Championships,2,14/06/2016
AEGON Championships,2,14/06/2016
AEGON Championships,2,14/06/2016
AEGON Championships,2,14/06/2016
AEGON Championships,2,14/06/2016
AEGON Championships,2,14/06/2016
AEGON Championships,2,14/06/2016
AEGON Championships,2,15/06/2016
AEGON Championships,2,15/06/2016
AEGON Championships,2,15/06/2016
AEGON Championships,2,15/06/2016
AEGON Championships,2,15/06/2016
AEGON Championships,2,15/06/2016
AEGON Championships,2,16/06/2016
AEGON Championships,2,16/06/2016
AEGON Championships,2,16/06/2016
AEGON Championships,2,16/06/2016
AEGON Championships,2,16/06/2016
AEGON Championships,2,17/06/2016
AEGON Championships,2,17/06/2016
AEGON Championships,2,17/06/2016
AEGON Championships,2,17/06/2016
AEGON Championships,2,17/06/2016
AEGON Championships,2,18/06/2016
AEGON Championships,2,18/06/2016
AEGON Championships,2,19/06/2016
AEGON Championships,2,15/06/2015
AEGON Championships,2,15/06/2015
AEGON Championships,2,15/06/2015
AEGON Championships,2,15/06/2015
AEGON Championships,2,15/06/2015
AEGON Championships,2,16/06/2015
AEGON Championships,2,16/06/2015
AEGON Championships,2,16/06/2015
AEGON Championships,2,16/06/2015
AEGON Championships,2,16/06/2015
AEGON Championships,2,16/06/2015
AEGON Championships,2,16/06/2015
AEGON Championships,2,16/06/2015
