atp,events_id,series,location,dated,tournament,location_id
58,58,ATP250,Moscow,21/10/2011,Kremlin Cup,64
58,58,ATP250,Moscow,21/10/2011,Kremlin Cup,64
58,58,ATP250,Moscow,21/10/2011,Kremlin Cup,64
58,58,ATP250,Moscow,22/10/2011,Kremlin Cup,64
58,58,ATP250,Moscow,22/10/2011,Kremlin Cup,64
58,58,ATP250,Moscow,23/10/2011,Kremlin Cup,64
58,58,ATP250,Stockholm,18/10/2010,Stockholm Open,92
58,58,ATP250,Stockholm,18/10/2010,Stockholm Open,92
58,58,ATP250,Stockholm,18/10/2010,Stockholm Open,92
58,58,ATP250,Stockholm,19/10/2010,Stockholm Open,92
58,58,ATP250,Stockholm,19/10/2010,Stockholm Open,92
58,58,ATP250,Stockholm,19/10/2010,Stockholm Open,92
58,58,ATP250,Stockholm,19/10/2010,Stockholm Open,92
58,58,ATP250,Stockholm,19/10/2010,Stockholm Open,92
58,58,ATP250,Stockholm,19/10/2010,Stockholm Open,92
58,58,ATP250,Stockholm,19/10/2010,Stockholm Open,92
58,58,ATP250,Stockholm,20/10/2010,Stockholm Open,92
58,58,ATP250,Stockholm,20/10/2010,Stockholm Open,92
58,58,ATP250,Stockholm,20/10/2010,Stockholm Open,92
